OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
41377,220278026,10/26/2022 4:09:13 PM,,,Wednesday,4,7,703,6000 N TERMINAL PKWY,Air/ Bus/ Train Terminal,13C,Intimidation,PERSON,N,,,Morning Watch,-84.443282,33.641279,,,,Part II,1,3af90926-db32-465a-b805-ace34bf3eb4a,-84.443282,33.6412790000001
52111,221050835,10/28/2022 5:38:34 AM,4/15/2022 3:00:00 AM,4/15/2022 12:30:00 PM,Thursday,5,3,305,323 DALTON ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.377606,33.719914,Chosewood Park,Y,1,Part II,1,4cd37ec7-503a-46d3-9e47-063680f7dd96,-84.377606,33.7199140000001
52683,221320696,10/28/2022 1:08:07 PM,5/12/2022 2:29:00 PM,10/28/2022 1:00:00 PM,Thursday,5,4,405,MLK DR NW / WESTLAND BLVD NW,Highway/ Road/ Alley/ Street/ Sidewalk,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.472941,33.753639,Harland Terrace,I,10,Part II,1,857c5c30-2e15-4ab8-a173-493abece6b5b,-84.4729409999999,33.7536390000001
56853,221671725,10/24/2022 7:00:18 PM,6/16/2022 2:54:00 AM,6/17/2022 9:30:00 AM,Wednesday,4,6,605,301 MEMORIAL DR SE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.377665,33.746504,Grant Park,W,1,Part I,1,8f196400-ee54-4729-a9e5-201caa9cb109,-84.377665,33.7465040000001
59006,221681279,10/27/2022 10:24:22 PM,6/17/2022 6:40:00 PM,6/17/2022 8:00:00 PM,Friday,6,6,605,441 CAMERON ST SE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.365292,33.742351,Grant Park,W,1,Part II,1,87e5e48c-1f3e-45ab-be66-760846fc57ab,-84.365292,33.742351
59991,221921099,10/12/2022 2:18:45 AM,10/11/2022 4:00:00 AM,10/11/2022 4:00:00 AM,Tuesday,3,3,310,2559 JONESBORO RD SE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.366944,33.683641,Browns Mill Park,Z,1,Part I,1,bd67738b-c8a4-4482-aeaa-e6dc1afe6af4,-84.366944,33.6836410000001
60818,221821245,10/22/2022 1:01:24 AM,7/1/2022 6:30:00 PM,7/1/2022 7:00:00 PM,Friday,6,6,607,735 HAMILTON AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.363837,33.725518,Boulevard Heights,W,1,Part II,1,b6b6d17b-1088-4dd1-8413-06f0288ac7da,-84.363837,33.7255180000001
64878,222301103,10/21/2022 10:50:54 PM,8/5/2022 1:00:00 PM,8/5/2022 2:00:00 PM,Friday,6,6,608,442 OAKDALE RD NE,Park/ Playground,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.341962,33.766297,Candler Park,N,2,Part I,1,05decc94-b0c3-4ad4-9533-37a59936ec41,-84.341962,33.7662970000001
64891,222301646,10/21/2022 8:59:37 PM,8/17/2022 10:30:00 PM,8/18/2022 12:00:00 PM,Wednesday,4,6,601,1028 SAINT CHARLES AVE NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.353732,33.775665,Virginia Highland,F,6,Part II,1,0b3ed2be-93c5-4540-9f94-d2a065809645,-84.353732,33.7756650000001
64991,222330845,10/11/2022 4:19:41 PM,8/18/2022 6:00:00 AM,8/21/2022 3:05:00 PM,Thursday,5,1,106,1024 DONALD LEE HOLLOWELL PKWY NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.420999,33.773048,Bankhead,K,3,Part II,,e883d35e-fbaa-4084-84de-5b196880269c,-84.4209989999999,33.7730480000001
65113,222211175,10/12/2022 10:43:52 AM,8/9/2022 6:18:00 PM,,Tuesday,3,1,114,3493 DONALD LEE HOLLOWELL PKWY NW,Government/ Public Building,26F,Identity Theft,PROPERTY,N,,,Morning Watch,-84.502188,33.795059,Atlanta Industrial Park,G,9,Part II,,49f25a81-28a6-4e90-ba48-efb1e9fd1e7c,-84.502188,33.795059
66529,222442349,10/7/2022 10:46:58 PM,9/2/2022 2:00:00 AM,9/2/2022 3:51:00 AM,Thursday,5,1,103,1271 MARIETTA BLVD NW,Bar/ Nightclub,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.428187,33.789494,Blandtown,D,9,Part I,1,70534a35-06f7-45a0-a2e3-1fecab6262e2,-84.428187,33.789494
67695,222551345,10/6/2022 7:34:04 PM,9/12/2022 7:15:00 PM,9/12/2022 7:20:00 PM,Monday,2,3,303,565 WELLS ST SW,Residence/ Home / Apartment / Condo,13C,Intimidation,PERSON,N,,,Evening Watch,-84.406012,33.740471,Mechanicsville,V,4,Part II,1,433cbeb7-bdef-4196-93d7-7b3d89646cf7,-84.406012,33.7404710000001
67759,222550710,10/6/2022 5:44:48 PM,3/17/2011 12:00:00 PM,8/13/2014 12:00:00 PM,Thursday,5,4,406,3122 VALLEYDALE DR SW,Residence/ Home / Apartment / Condo,26F,Identity Theft,PROPERTY,N,,,Day Watch,-84.490268,33.726407,Magnum Manor,I,10,Part II,1,a6c6e13b-c8af-417f-9848-8f3fe8d273a8,-84.490268,33.7264070000001
67943,222571073,10/17/2022 12:37:22 PM,9/14/2022 5:14:00 PM,9/14/2022 7:00:00 PM,Wednesday,4,3,308,2120 FORREST PARK RD SE,School - Elementary/ Secondary,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.35886,33.695555,Norwood Manor,Z,1,Part I,1,e46a58c6-9979-4e31-848c-7dcffae26265,-84.3588599999999,33.6955550000001
68750,222641229,10/1/2022 3:37:50 PM,9/21/2022 5:00:00 PM,9/21/2022 5:10:00 PM,Wednesday,4,6,609,1572 HARDEE ST NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Day Watch,-84.334332,33.756515,Edgewood,O,5,Part II,1,4f282477-0be1-4acf-9d15-bc396eaf7bdf,-84.334332,33.756515
