Object ID,Permanent Identifier,Source Feature ID,Source Dataset ID,Source Data Description,Source Originator,Data Security,Distribution Policy,Load Date,Feature Type,Feature Code,Name,Is this a Landmark?,Point Location Type,Administration Type,Building Name Address,Address,City,State,ZIP Code,GNIS ID,Foot ID,Complex_Id,Global ID,x,y
1991755,47b5d405-9735-4e81-97ef-6644ac2e03a2,9999999999,9d9512c2-f6f8-446a-bc9e-894c4b717aff,740 TNMC Update 7/2/2024,U.S. Geological Survey,5,E4,8/20/2024 5:02:59 PM,740,74034,Atlanta Police Department Zone 6,2,1,,,2025 Hosea L Williams Drive Northeast,Atlanta,GA,30317,2346262,,,0c3830c4-f9c4-4d18-a761-1e7e622528ff,-9386609.66533073,3995388.79861517
1991784,50d2d206-9f5d-48d6-a687-4d23f8aed547,9999999999,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,8/12/2016 2:05:14 PM,740,74034,Old National Police Precinct,2,1,,,5615 Old National Hwy,Atlanta,GA,30349,2346052,,,ee805445-f894-4080-80ff-cd824aa2c2dd,-9403498.59484213,3975614.88293056
2020926,9c7eb51d-d80e-4442-b040-8db3aa130d10,9999999999,ec214da4-ef0f-4ea7-9f7d-f8ac3afbc6c1,740 TNMC Update 7/1/2024,U.S. Geological Survey,5,E4,8/19/2024 12:40:43 PM,740,74034,Police Criminal Investigation,2,1,,,4701 Fulton Industrial Boulevard Southwest,Atlanta,GA,30336,2733779,,,7dfc912c-7971-43c6-8585-9f724bfa0511,-9410890.11192996,3996631.4698018
2041094,b8911fd5-2e1c-4838-99d3-2aaad8084c39,TX000818,ab128a5f-d2f2-5414-bb75-c0f2c235fc79,740 TNMC Update 12/7/2018,U.S. Geological Survey,5,E4,12/7/2018 12:00:00 AM,740,74034,Atlanta Police Department,2,1,,,310 North Louise Street,Atlanta,TX,75551,2751174,,,d4e2afc0-1658-4010-91de-c48cff456693,-10482523.8455259,3911135.4041345
2062938,da410571-ece8-4071-bfea-0b7cc9cbf6cb,10309823,a394a132-4350-5fa2-a77b-8fde8c1de540,740 TNMC Update 7/30/2021,U.S. Geological Survey,5,E4,7/30/2021 12:00:00 AM,740,74034,Fulton County Sheriff's Office,2,1,,,185 Central Avenue Southwest,Atlanta,GA,30303,2733913,,,8f59f1b1-832d-4f1b-b51b-10410070328b,-9394327.28629484,3995317.12867844
2064197,322f2c79-bb02-48d3-8e4d-3529befe8bd7,10309854,861cc684-6d16-5291-9ddf-867ccce10813,740 TNMC Update 2/12/2023,U.S. Geological Survey,5,E4,2/12/2023 12:00:00 AM,740,74034,Atlanta Police Department Zone 2 Precinct,2,1,,,3405 Maple Drive,Atlanta,GA,30305,2346403,,,05c72930-cd70-48b9-803a-6bd3f2be3621,-9392348.95536606,4007366.05337546
2069627,360432be-a3da-4ef9-b36c-9f99dd7d2f4e,10309895,0e0cf9bf-26d5-5108-8918-f12938a2abb6,740 TNMC Update 12/2/2016,U.S. Geological Survey,5,E4,12/2/2016 12:00:00 AM,740,74034,DeKalb County Police Department North Precinct,2,1,,,4453 Ashford Dunwoody Road Northeast,Atlanta,GA,30346,2346589,,,a73cad32-42d0-4991-a900-6332ebb39859,-9388463.39644905,4018419.78420528
2083865,f447cd7a-4cf0-4164-ba82-899fb7d50d0d,10309864,63638656-0b49-503b-a643-8a653f079dca,740 TNMC Update 8/4/2018,U.S. Geological Survey,5,E4,8/4/2018 12:00:00 AM,740,74034,Atlanta Police Department Zone 4 Mini Precinct,2,1,,,3565 Martin Luther King Junior Drive Southwest,Atlanta,GA,30331,2734175,,,16239eba-158a-4efb-ada0-e98c7e4a26a4,-9406967.6572579,3996649.94796932
2094383,91bbd1a1-0b89-49fa-98a1-c86ffc081655,10309863,424d0a75-1665-5072-920f-a1322d156a1d,740 TNMC Update 8/27/2016,U.S. Geological Survey,5,E4,8/27/2016 12:00:00 AM,740,74034,Atlanta Police Department Zone 3 Mini Precinct,2,1,,,215 Lakewood Way,Atlanta,GA,30315,2734066,,,491808bc-d52e-4684-a73e-8d436833c2b9,-9395004.70794402,3988702.88433374
2114550,8850bf3e-51f5-484f-b689-61d42fa11018,,0e9414f0-7349-5771-b60f-4da91c6a45c4,740 TNMC Update 9/13/2021,U.S. Geological Survey,5,E4,9/13/2021 12:00:00 AM,740,74034,Georgia Tech Police Department,2,1,,,965 Hemphill Avenue Northwest,Atlanta,GA,30332,,,,ecbf1000-53a8-49fc-a888-28e1781e8643,-9395735.0495054,3999469.77244143
